DATOS SECTORIALES EN EL SISTEMA SISSH,,,,,
,,,,,
CONFLICTO,,,,,
Esperanza de Vida al Nacer - Mujeres,No Determinado,DANE,2000-2008,Departamental,"N_mero promedio de a_os que vivir_a una persona, siempre y cuando se mantengan las tendencias de mortalidad existentes en un determinado per_odo."
Esperanza de Vida al Nacer - Total,No Determinado,DANE,2000-2008,Departamental,"N_mero promedio de a_os que vivir_a una persona de sexo femenino, siempre y cuando se mantengan las tendencias de mortalidad existentes en un determinado per_odo."
Extensi_n Territorial,No Determinado,Fedemunicipios,2008,Municipal,Representa la extensi_n territorial del municipio
Hombres de 80 a_os o M_s,No Determinado,DANE,2005-2013,Municipal,N_mero de personas del sexo masculino con una edad igual o superior a 80 a_os en el momento de realizar la encuesta.
Hombres Entre 0 y 9 a_os,No Determinado,DANE,2006-2013,Municipal,N_mero de personas del sexo masculino con una edad entre 0 y 9 a_os en el momento de realizar la encuesta.
Hombres Entre 10 y 19 a_os,No Determinado,DANE,2005-2013,Municipal,N_mero de personas del sexo masculino con una edad entre 10 y 19 a_os en el momento de realizar la encuesta.
Hombres Entre 20 y 29 a_os,No Determinado,DANE,2005-2013,Municipal,N_mero de personas del sexo masculino con una edad entre los 20 y 29 a_os en el momento de realizar la encuesta.
Hombres Entre 30 y 39 a_os,No Determinado,DANE,2005-2013,Municipal,N_mero de personas del sexo masculino con una edad entre 30 y 39 a_os en el momento de realizar la encuesta.
Hombres Entre 40 y 49 a_os,No Determinado,DANE,2005-2013,Municipal,N_mero de personas del sexo masculino con una edad entre 40 y 49 a_os en el momento de realizar la encuesta.
Hombres Entre 50 y 59 a_os,No Determinado,DANE,2005-2013,Municipal,N_mero de personas del sexo masculino con una edad entre 50 y 59 a_os en el momento de realizar la encuesta.
Hombres Entre 60 y 69 a_os,No Determinado,DANE,2005-2013,Municipal,N_mero de personas del sexo masculino con una edad entre 60 y 69 a_os en el momento de realizar la encuesta.
Hombres Entre 70 y 79 a_os,No Determinado,DANE,2005-2013,Municipal,N_mero de personas del sexo masculino con una edad entre 70 y 79 a_os en el momento de realizar la encuesta.
Mujeres de 80 a_os o M_s,No Determinado,DANE,2005-2013,Municipal,N_mero de personas del sexo femenino con una edad igual o superior a 80 a_os en el momento de realizar la encuesta.
Mujeres en Edad F_rtil (13 a 49 a_os),No Determinado,DANE,2005-2010,Departamental,"N_mero de mujeres con una edad entre los 13 y 49 a_os de edad, el tama_o de la muestra fue de 3,935 segmentos. Se entrevistaron efectivamente 37,211 hogares, 41,344 mujeres de 13 a 49 a_os ."
Mujeres en Edad F_rtil (15 a 49 a_os),No Determinado,DANE,2005-2010,Departamental,"N_mero de mujeres con una edad entre los 15 y 49 a_os de edad, el tama_o de la muestra fue de 3,935 segmentos. Se entrevistaron efectivamente 37,211 hogares, 38.143 mujeres de 15 a 49 a_os"
Mujeres Entre 0 y 9 a_os,No Determinado,DANE,2005-2013,Municipal,N_mero de personas del sexo femenino con una edad entre 0 y 9 a_os en el momento de realizar la encuesta.
Mujeres Entre 10 y 19 a_os,No Determinado,DANE,2005-2013,Municipal,N_mero de personas del sexo femenino con una edad entre 10 y 19 a_os en el momento de realizar la encuesta.
Mujeres Entre 20 y 29 a_os,No Determinado,DANE,2005-2013,Municipal,N_mero de personas del sexo femenino con una edad entre 20 y 29 a_os en el momento de realizar la encuesta.
Mujeres Entre 30 y 39 a_os,No Determinado,DANE,2005-2013,Municipal,N_mero de personas del sexo femenino con una edad entre 30 y 39 a_os en el momento de realizar la encuesta.
Mujeres Entre 40 y 49 a_os,No Determinado,DANE,2005-2013,Municipal,N_mero de personas del sexo femenino con una edad entre 40 y 49 a_os en el momento de realizar la encuesta.
Mujeres Entre 50 y 59 a_os,No Determinado,DANE,2005-2013,Municipal,N_mero de personas del sexo femenino con una edad entre 50 y 59 a_os en el momento de realizar la encuesta.
Mujeres Entre 60 y 69 a_os,No Determinado,DANE,2005-2013,Municipal,N_mero de personas del sexo femenino con una edad entre l60 y 69 a_os en el momento de realizar la encuesta.
Mujeres Entre 70 y 79 a_os,No Determinado,DANE,2005-2013,Municipal,N_mero de personas del sexo femenino con una edad entre 70 y 79 a_os en el momento de realizar la encuesta.
"Negro(a), Mulato, Afrocolombiano",No Determinado,DANE,2005,Municipal,"Este grupo reside tradicionalmente en la regi_n occidental costera de bosques h_medos ecuatoriales, cuencas hidrogr_ficas, esteros, manglares y litorales; tiene pr_cticas culturales propias de los pueblos descendientes de africanos entre las que se destacan la m_sica, las celebraciones religiosas y la comida; el cultivo de la tierra tiene ra_ces fundamentalmente campesinas."
No informa Pertenencia _tnica,No Determinado,DANE,2005,Municipal,N_mero de personas que no informaron su pertenencia _tnica en la encuesta
N_mero de artefactos explosivos activados,No Determinado,Direcci_n de Polic_a Judicial e Investigaci_n-DIJIN,2003-2012,Municipal,Ver Artefactos Explosivos
N_mero de Hombres,No Determinado,DANE,2006-2013,Municipal,"Total de hombres residentes en alg_n lugar determinado (Municipio, Departamento, Regi_n, etc)"
N_mero de Mujeres,No Determinado,DANE,2005-2013,Municipal,"Total de mujeres residentes en alg_n lugar determinado (Municipio, Departamento, Regi_n, etc)"
Palenquero,No Determinado,DANE,2005,Municipal,"Perteneciente a la comunidad de San Basilio de Palenque, en el municipio de Mahates del departamento de Bol_var, pueblo que alcanz_ su libertad en 1603, constituy_ndose en el primer pueblo libre de Am_rica, all_ se habla la otra lengua criolla afrocolombiana: el palenquero. Este pueblo ha logrado existir, en parte, gracias al relativo aislamiento en que ha vivido hasta hace poco"
Participaci_n Poblaci_n sobre Total Nacional,No Determinado,DANE,1995-2008,Municipal,Tasa que indica la participaci_n de la poblaci_n municipal o departamental en la poblaci_n nacional.
Participaci_n sobre Poblaci_n Departamental,No Determinado,DANE,2003-2005,Municipal,Tasa que indica la participaci_n de la poblaci_n municipal en la poblaci_n Departamental.
Poblaci_n Cabecera,No Determinado,DANE,1995-2014,Municipal,"Habitantes de una cabecera municipal o centro poblado, se entiende tambi_n como las personas que residen en el _rea urbana de una zona determinada. (Municipio, Departamento, Nacional)"
Poblaci_n Hombres,No Determinado,,2005-2013,Municipal,N_mero de personas del sexo masculino en un determinado lugar
Poblaci_n ind_gena,No Determinado,DANE,2005,Municipal,"La poblaci_n ind_gena se ubica en su gran mayor_a en el _rea rural del pa_s en los resguardos ind_genas legalmente constituidos, en las parcialidades ind_genas o en territorios no delimitados legalmente. Se encuentran ubicados en las regiones naturales como la selva, las sabanas naturales de la orinoqu_a, los Andes colombianos, en los valles interandinos y en la planicie del caribe. De acuerdo con la Constituci_n Nacional, el castellano es el idioma oficial de Colombia, pero las lenguas ind_genas son tambi_n oficiales en sus territorios. En el pa_s, se hablan 64 lenguas amerindias y una diversidad de dialectos que se agrupan en 13 familias ling?_sticas."
Poblaci_n Mujeres,No Determinado,DANE,2005-2013,Municipal,N_mero de personas del sexo femenino en un determinado lugar
Poblaci_n Resto,No Determinado,DANE,1995-2014,Municipal,"Habitantes de la zona rural en determinada zona, estas personas no residen en ning_n centro poblado."
Promedio de Hijos Nacidos Vivos,No Determinado,DANE,2005,Municipal,En Promedio cuantos hijos nacidos vivos tienen las madres de este municipio.
Promedio Hogares por Vivienda,No Determinado,DANE,2005,Municipal,Esta variable se interpreta como la cantidad de hogares que residen en una vivienda. (promedio)
Raizal de San Andr_s y Providencia,No Determinado,DANE,2005,Municipal,"Correspondiente a las comunidades raizales del archipi_lago de San Andr_s, Providencia de ra_ces culturales afro-anglo-antillanas, cuyos integrantes mantienen una fuerte identidad caribe_a, con rasgos socioculturales y ling?_sticos claramente diferenciados del resto de la poblaci_n afrocolombiana. Utilizan el band_, como lengua propia y como religi_n originaria la protestante."
ROM,No Determinado,DANE,2005,Municipal,"Los Rom de Colombia tienen elementos culturales que los diferencian de los dem_s grupos _tnicos del pa_s, como la idea de un origen com_n, larga tradici_n n_made y su transformaci_n en nuevas formas de itinerancia, valoraci_n del grupo en cuanto la edad y el sexo como principios ordenadores de estatus, cohesi_n interna y diferenciaci_n frente al no rom,- Gayde-. Son una poblaci_n principalmente urbana, se encuentran distribuidos en kumpanias, que son _unidades variables de corresidencia y cocirculaci_n que se asientan en barrios o se dispersan por familias entre las casas de los habitantes no gitanos en los sectores populares de las ciudades, y en segundo lugar en grupos familiares de tama_o variable que de todas maneras mantienen v_nculos culturales y sociales con alguna de las kumpanias_"
Sin Pertenencia _tnica,No Determinado,DANE,2005,Municipal,Poblaci_n que no pertenece a ninguna minor_a _tnica.
Total Hogares,No Determinado,DANE,2005,Municipal,"Se entiende como Hogar a la persona o n_mero de personas, parientes o no, que ocupan la totalidad o parte de una vivienda; atienden necesidades b_sicas con cargo a un presupuesto com_n y generalmente comparten las comidas (DANE)"
Total Viviendas,No Determinado,DANE,2005,Municipal,"Espacio independiente y separado con _reas de uso exclusivo, habituado o destinado a ser habitado por una o m_s personas. Para efectos de contabilizaci_n en el censo 2005, realizado por el Departamento Nacional de Estad_sticas, se tuvieron en cuenta como unidad de vivienda las casas, casas ind_genas, apartamentos, viviendas tipo cuarto, y otro tipo de vivienda."
,,,,,
DESASTRES NATURALES,,,,,
Dato,Sector,Fuente,Periodo Disponible,MDGD,Definici_n
Afectados por Avalancha Muertos,Infraestructura y Vivienda,Unidad Nacional para la Gesti_n de Riego de Desastres,2001-2010,Municipal,"Muertos a causa de un movimiento en masa que se desplaza bruscamente por las laderas de una monta_a, arrastrando gran cantidad de material rocoso, escombros de diferentes tama_os e incluso arbustos y _rboles; el principal agente es la gravedad."
Afectados por Deslizamiento Heridos,Infraestructura y Vivienda,C_lculos MESEP,2001-2010,Municipal,"Herdidos a causa de un movimiento en masa, de flujo r_pido, de grandes vol_menes de materiales (suelos, formaciones superficiales, rocas, cobertura vegetal) que se desprenden y se desplazan pendiente abajo como un solo bloque, sobre un plano resbaloso, inclinado o c_ncavo."
Afectados por Deslizamientos Muertos,Infraestructura y Vivienda,Unidad Nacional para la Gesti_n de Riego de Desastres,2001-2010,Municipal,"Muertos a causa de un movimiento en masa, de flujo r_pido, de grandes vol_menes de materiales (suelos, formaciones superficiales, rocas, cobertura vegetal) que se desprenden y se desplazan pendiente abajo como un solo bloque, sobre un plano resbaloso, inclinado o c_ncavo."
Afectados por Inundaciones Heridos,Infraestructura y Vivienda,Unidad Nacional para la Gesti_n de Riego de Desastres,2001-2009,Municipal,"Heridos a causa de un evento natural y recurrente que se produce en las corrientes de agua, como resultado de lluvias intensas o continuas que, al sobrepasar la capacidad de retenci_n del suelo y de los cauces, desbordan e inundan llanuras de inundaci_n, en general, aquellos terrenos aleda_os a los cursos de agua."
Afectados por Inundaciones Muertos,Infraestructura y Vivienda,Unidad Nacional para la Gesti_n de Riego de Desastres,2001-2009,Municipal,"Muertos a causa de un evento natural y recurrente que se produce en las corrientes de agua, como resultado de lluvias intensas o continuas que, al sobrepasar la capacidad de retenci_n del suelo y de los cauces, desbordan e inundan llanuras de inundaci_n, en general, aquellos terrenos aleda_os a los cursos de agua."
Afectados por Vendaval Heridos,Infraestructura y Vivienda,Unidad Nacional para la Gesti_n de Riego de Desastres,2001-2009,Municipal,Heridos a causa delos efectos de vientos cuya velocidad oscila entre los 51 y 87 km/h.
Afectados por vendaval Muertos,Infraestructura y Vivienda,Unidad Nacional para la Gesti_n de Riego de Desastres,2001-2009,Municipal,Muertos a causa de los efectos de vientos cuya velocidad oscila entre los 51 y 87 km/h.
Amenaza Avalancha - Cabecera y Centro Poblado,Infraestructura y Vivienda,SISBEN,2007,Municipal,"Viviendas ubicadas en cabeceras o centros poblados que se encuentran en riesgo de ser afectadas por un movimiento en masa que se desplaza bruscamente por las laderas de una monta_a, arrastrando gran cantidad de material rocoso, escombros de diferentes tama_os e incluso arbustos y _rboles; el principal agente es la gravedad."
Amenaza Avalancha - Rural Disperso,Infraestructura y Vivienda,SISBEN,2007,Municipal,"Viviendas ubicadas en zonas rurales que se encuentran en riesgo de ser afectadas por un movimiento en masa que se desplaza bruscamente por las laderas de una monta_a, arrastrando gran cantidad de material rocoso, escombros de diferentes tama_os e incluso arbustos y _rboles; el principal agente es la gravedad."
Amenaza Avalancha - Total,Infraestructura y Vivienda,SISBEN,2004-2007,Municipal,"Viviendas que se encuentran en riesgo de ser afectadas por un movimiento en masa que se desplaza bruscamente por las laderas de una monta_a, arrastrando gran cantidad de material rocoso, escombros de diferentes tama_os e incluso arbustos y _rboles; el principal agente es la gravedad."
Amenaza Deslizamiento - Cabecera y Centro Poblado,Infraestructura y Vivienda,SISBEN,2007,Municipal,"Viviendas ubicadas en cabeceras o centros poblados que se encuentran en riesgo de ser afectadas por un movimiento en masa, de flujo r_pido, de grandes vol_menes de materiales (suelos, formaciones superficiales, rocas, cobertura vegetal) que se desprenden y se desplazan pendiente abajo como un solo bloque, sobre un plano resbaloso, inclinado o c_ncavo."
Amenaza Deslizamiento - Rural Disperso,Infraestructura y Vivienda,SISBEN,2007,Municipal,"Viviendas ubicadas en zonas rurales que se encuentran en riesgo de ser afectadas por un movimiento en masa, de flujo r_pido, de grandes vol_menes de materiales (suelos, formaciones superficiales, rocas, cobertura vegetal) que se desprenden y se desplazan pendiente abajo como un solo bloque, sobre un plano resbaloso, inclinado o c_ncavo."
Amenaza Deslizamiento - Total,Infraestructura y Vivienda,SISBEN,2004-2007,Municipal,"Viviendas que se encuentran en riesgo de ser afectadas por un movimiento en masa, de flujo r_pido, de grandes vol_menes de materiales (suelos, formaciones superficiales, rocas, cobertura vegetal) que se desprenden y se desplazan pendiente abajo como un solo bloque, sobre un plano resbaloso, inclinado o c_ncavo."
Amenaza Inundaci_n - Cabecera y Centro Poblado,Infraestructura y Vivienda,SISBEN,2007,Municipal,"Viviendas ubicadas en cabeceras y centros poblados que se encuentran en riesgo de ser afectadas por un evento natural y recurrente que se produce en las corrientes de agua, como resultado de lluvias intensas o continuas que, al sobrepasar la capacidad de retenci_n del suelo y de los cauces, desbordan e inundan llanuras de inundaci_n, en general, aquellos terrenos aleda_os a los cursos de agua."
Amenaza Inundaci_n - Rural Disperso,Infraestructura y Vivienda,SISBEN,2007,Municipal,"Viviendas ubicadas en zonas rurales que se encuentran en riesgo de ser afectadas por un evento natural y recurrente que se produce en las corrientes de agua, como resultado de lluvias intensas o continuas que, al sobrepasar la capacidad de retenci_n del suelo y de los cauces, desbordan e inundan llanuras de inundaci_n, en general, aquellos terrenos aleda_os a los cursos de agua."
Amenaza Inundaci_n - Total,Infraestructura y Vivienda,SISBEN,2004-2007,Municipal,"Viviendas que se encuentran en riesgo de ser afectadas por un evento natural y recurrente que se produce en las corrientes de agua, como resultado de lluvias intensas o continuas que, al sobrepasar la capacidad de retenci_n del suelo y de los cauces, desbordan e inundan llanuras de inundaci_n, en general, aquellos terrenos aleda_os a los cursos de agua."
Heridos por Avalancha,Infraestructura y Vivienda,Unidad Nacional para la Gesti_n de Riego de Desastres,2001-2009,Municipal,"Heridos a causa de un movimiento en masa que se desplaza bruscamente por las laderas de una monta_a, arrastrando gran cantidad de material rocoso, escombros de diferentes tama_os e incluso arbustos y _rboles; el principal agente es la gravedad."
Ninguna Amenaza - Cabecera y Centro Poblado,Infraestructura y Vivienda,SISBEN,2007,Municipal,Porcentaje de Viviendas ubicadas en cabecera y centros poblados que no presentan ning_n tipo de amenaza de desastres naturales.
Ninguna Amenaza - Rural Disperso,Infraestructura y Vivienda,SISBEN,2007,Municipal,Porcentaje de Viviendas ubicadas en zonas rurales que no presentan ning_n tipo de amenaza de desastres naturales.
Ninguna Amenaza - Total,Infraestructura y Vivienda,SISBEN,2004-2007,Municipal,Porcentaje de Viviendas que no presentan ning_n tipo de amenaza de desastres naturales.
N_mero de viviendas averiadas,Infraestructura y Vivienda,Unidad Nacional para la Gesti_n de Riego de Desastres,,Municipal,N_mero de viviendas que han sido averiadas por causa de un desastre natural
N_mero de viviendas destruidas,Infraestructura y Vivienda,Unidad Nacional para la Gesti_n de Riego de Desastres,,Municipal,N_mero de viviendas destruidas por causa de un desastre natural
,,,,,
ECON_MICO/EMPLEO,,,,,
Dato,Sector,Fuente,Periodo Disponible,MDGD,Definici_n
Desempleados Abiertos,Recuperaci_n temprana,DANE,2001-2008,Departamental,"Son desempleados abiertos las personas que en la semana de referencia buscaron ejercer una actividad, en la producci_n de bienes y servicios"
Desempleados Ocultos,Recuperaci_n temprana,DANE,2001-2008,Departamental,"Son desempleados ocultos, las que durante el periodo de referencia no hicieron ninguna diligencia para buscar trabajo, pero que lo buscaron anteriormente alguna vez y a_n est_n interesados en trabajar."
Desocupados,Recuperaci_n temprana,DANE,2001-2012,Departamental,"Son desocupadas las personas que en la semana de referencia buscaron ejercer una actividad, en la producci_n de bienes y servicios:Desempleo abierto, Desempleo Oculto y Desempleo Disfrazado."
Inactivos,Recuperaci_n temprana,DANE,2001-2008,Departamental,"Comprende a todas las personas en edad de trabajar que no participan en la producci_n de bienes y servicios porque no necesitan, no pueden o no est_n interesadas en tener una actividad remunerada. A este grupo pertenecen: estudiantes, amas de casa, pensionados, jubilados, rentistas, inv_lidos, personas que no les llama la atenci_n o creen que no vale la pena trabajar, trabajadores familiares sin remuneraci_n que se encuentran laborando menos de 15 horas semanales."
Ocupados,Recuperaci_n temprana,DANE,2001-2008,Departamental,"Son las personas que durante el periodo de referencia se encontraban en una de las siguientes situaciones: a) Ejercieron una actividad en la producci_n de bienes y servicios de por lo menos una hora remunerada a la semana, b) Los trabajadores familiares sin remuneraci_n que trabajaron por lo menos 15 horas a la semana, c) Las personas que no trabajaron pero ten_an un empleo o trabajo (estaban vinculadas a un proceso de producci_n cualquiera)"
Poblaci_n Econ_micamente Activa,Recuperaci_n temprana,DANE,1996-2012,Departamental,Conformada por las personas en edad de trabajar que en la semana de referencia (semana inmediatamente anterior a aquella en la cual se realiza la encuesta) ejercieron o buscaron ejercer una ocupaci_n remunerada en la producci_n de bienes y servicios y los ayudantes familiares que trabajaron sin remuneraci_n en una empresa familiar por lo menos 15 horas semanales.
Poblaci_n en Edad de Trabajar,Recuperaci_n temprana,DANE,,Departamental,Constituida por las personas de 12 a_os y m_s en las zonas urbanas y 10 a_os y m_s en las zonas rurales
Subempleados,Recuperaci_n temprana,DANE,2001-2008,Departamental,"Son los ocupados que quieren y pueden trabajar m_s tiempo porque: a)Tienen una jornada de trabajo inferior a 2/3 partes de la jornada legal (subempleo visible), b) Consideran que sus ingresos no son suficientes para atender sus gastos normales, c) Juzgan que la ocupaci_n que est_n desempe_ando no est_ de acuerdo con su profesi_n o entrenamiento"
Tasa de Desempleo,Recuperaci_n temprana,DANE,2001-2012,Departamental,"La tasa de desempleo calcula el porcentaje de la poblaci_n considerada como la fuerza de trabajo, que se encuentra desocupada y no tiene empleo ya sea por desempleo friccional, estructural o desempleo disfrazado"
Tasa de Ocuapacion,Recuperaci_n temprana,DANE,2001-2008,Departamental,Es la relaci_n porcentual entre la poblaci_n ocupada (OC) y el n_mero de personas que integran la poblaci_n en edad de trabajar (PET).
Tasa de Subempleo,Recuperaci_n temprana,DANE,2001-2008,Departamental,Es la relaci_n porcentual de la poblaci_n ocupada que manifest_ ?querer y poder trabajar m_s horas a la semana? (PS) y el n_mero de personas que integran la fuerza laboral (PEA).
Tasa Global de Participaci_n,Recuperaci_n temprana,DANE,2001-2007,Departamental,Es la relaci_n porcentual entre el n_mero de personas que componen la fuerza de trabajo o poblaci_n econ_micamente activa (PEA) y el n_mero de personas que integran la poblaci_n en edad de trabajar (PET
,,,,,
ECON_MICO/PRODUCCI_N,,,,,
Dato,Sector,Fuente,Periodo Disponible,MDGD,Definici_n
PIB a precios constantes de 1994,Recuperaci_n temprana,DANE,1996-2005,Departamental,"Indicador que mide la actividad productiva de las unidades institucionales residentes en una regi_n. Permite, adem_s, establecer el comportamiento econ_mico, su evoluci_n y estructura de cada uno de los departamentos del pa_s"
PIB a precios constantes de 2000,Recuperaci_n temprana,DANE,2000-2006,Departamental,"El PIB representa el resultado final de la actividad productiva de las unidades de producci_n residentes. Se mide desde el punto de vista del valor agregado, de la demanda final o las utilizaciones finales de los bienes y servicios y de los ingresos primarios distribuidos por las unidades de producci_n residentes."
PIB empalmado a precios constantes de 2005,Recuperaci_n temprana,DANE,1990-2008,Departamental,"El Producto Interno Bruto es la sumatoria de los valores agregados generados en la actividad econ_mica del pa_s o, lo que es lo mismo, todos los bienes y servicios finales producidos por el pa_s, en un per_odo de tiempo determinado."
